index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
272371,415,7,01/03/2015,0,0,0,0,0,0.0
558468,27,7,29/12/2013,0,0,0,0,0,0.0
76950,404,3,19/03/2014,657,1,1,0,0,7016.773594251485
77556,683,2,29/01/2013,862,1,0,0,0,6804.303797004162
456344,920,3,19/03/2014,591,1,1,0,0,6542.375567474985
436466,758,4,26/06/2014,569,1,0,0,0,5171.288966055436
646251,563,1,16/02/2015,321,1,1,0,0,5223.575766152004
650464,930,6,22/11/2014,1367,1,0,0,0,9990.98879824049
162710,756,4,04/06/2015,0,0,1,a,0,0.0
100327,49,2,13/01/2015,546,1,1,0,0,6548.024614520371
374540,787,4,23/07/2015,968,1,0,0,1,7804.492215063539
399143,782,4,19/09/2013,472,1,0,0,0,4531.854591750773
44740,897,7,20/04/2014,0,0,0,0,0,0.0
674144,933,1,09/12/2013,965,1,0,0,0,7827.312576699653
81595,218,2,07/04/2015,804,1,0,0,1,6940.299809109594
416724,554,3,09/10/2013,499,1,1,0,1,6164.4629183323705
632687,362,1,12/08/2013,1337,1,1,0,1,11361.969595090777
351899,655,3,09/04/2014,560,1,0,0,0,5133.866683854372
515940,785,3,31/12/2014,461,1,0,0,1,4837.201475281618
567411,690,3,19/03/2014,866,1,1,0,0,8242.130406298616
274598,1103,7,15/02/2015,0,0,0,0,0,0.0
417880,431,1,02/06/2014,1367,1,1,0,0,11563.19571741746
453710,127,2,24/09/2013,642,1,1,0,0,7102.596894297574
597622,579,5,29/03/2013,0,0,1,b,1,0.0
223346,248,6,03/08/2013,1139,1,0,0,0,8452.602636836178
630018,962,6,11/01/2014,0,0,0,0,0,0.0
355860,224,2,26/03/2013,515,1,1,0,1,6162.615325742925
360080,208,3,19/06/2013,355,1,1,0,1,5213.469295328367
129544,401,1,30/03/2015,1063,1,1,0,0,9784.634592868562
422545,503,7,29/09/2013,0,0,0,0,0,0.0
174199,221,4,05/03/2015,562,1,1,0,0,6526.207834296743
118613,268,7,02/11/2014,0,0,0,0,0,0.0
60310,799,2,27/08/2013,927,1,1,0,1,8744.075161461253
328458,260,6,25/10/2014,894,1,0,0,0,7189.309062183835
200661,1041,2,10/03/2015,594,1,0,0,0,5474.168808352668
179581,350,2,18/06/2013,533,1,1,0,0,6306.426616727898
587612,286,7,05/04/2015,0,0,0,0,0,0.0
320169,620,2,04/06/2013,709,1,1,0,0,7326.552999355539
37194,521,1,17/06/2013,484,1,1,0,0,6062.502415473689
685427,649,4,27/11/2014,435,1,1,0,0,5829.335596876161
125422,1059,2,02/06/2015,1239,1,1,0,0,10763.22480484756
24499,486,6,28/06/2014,373,1,0,0,0,3867.312020091922
281806,252,4,17/10/2013,642,1,0,0,0,5670.865558366582
540511,656,3,15/05/2013,421,1,1,0,0,5470.29149620235
28689,642,5,12/09/2014,394,1,0,0,0,4141.886477418826
165066,655,5,08/05/2015,761,1,1,0,0,7659.803321974003
555963,992,3,26/06/2013,627,1,0,0,0,5422.720291313075
610614,143,2,02/06/2015,731,1,1,0,0,7816.695555056445
64013,421,5,18/07/2014,941,1,1,0,1,8755.037820794969
30639,246,4,02/10/2014,1157,1,1,0,0,10216.118644957722
418604,960,1,28/04/2014,720,1,1,0,0,7513.101993534598
468037,313,5,17/01/2014,697,1,0,0,0,5761.1008681919775
271589,291,6,29/06/2013,534,1,0,0,0,4727.1329817419755
77924,924,6,31/05/2014,333,1,0,0,0,3529.9482383970753
247149,337,2,13/08/2013,430,1,1,0,1,5791.185242108069
576822,1024,4,12/03/2015,607,1,0,0,0,5400.019513909472
108538,56,3,22/01/2014,402,1,1,0,0,5456.40116483561
645670,507,3,09/04/2014,532,1,0,0,0,4985.522774489538
601663,970,5,15/03/2013,406,1,0,0,0,3823.970863745082
502588,846,2,23/06/2015,828,1,0,0,0,7027.613067110651
66732,549,3,27/08/2014,582,1,0,0,0,5425.786459777097
627113,1095,4,28/03/2013,852,1,1,0,1,7923.937191917328
691184,859,5,12/04/2013,709,1,1,0,0,6994.901775741193
467913,914,2,29/07/2014,1178,1,1,0,1,10360.854924030544
304890,888,2,23/06/2015,634,1,0,0,0,5845.856475989451
274018,442,2,04/11/2014,517,1,1,0,0,6500.197560579341
644430,34,6,09/03/2013,905,1,0,0,0,6901.587520400644
669009,199,4,10/07/2014,581,1,0,0,0,5349.406146715453
518722,854,4,04/06/2015,657,1,1,a,0,6346.185552829003
505976,611,2,21/01/2014,485,1,1,0,0,5957.056607651582
291572,808,4,09/04/2015,528,1,0,0,1,5027.180217857531
39071,1105,4,22/01/2015,410,1,0,0,0,4133.048105346796
319154,866,5,24/04/2015,445,1,0,0,0,4402.675106501847
166603,222,6,28/09/2013,367,1,0,0,0,3824.6749483566964
428262,476,2,24/09/2013,753,1,1,0,0,7724.957838603528
20314,800,1,26/05/2014,494,1,0,0,0,4912.003380934184
603091,330,1,24/03/2014,408,1,0,0,0,4390.721880756377
500421,507,3,07/01/2015,648,1,1,0,0,7018.656313857704
388016,98,7,02/06/2013,0,0,0,0,0,0.0
268257,1026,2,28/01/2014,1044,1,0,0,0,8001.823070969258
216326,990,5,04/10/2013,719,1,0,0,0,5945.833902802726
40755,8,6,10/01/2015,345,1,0,0,0,3734.405368959473
8654,611,3,31/07/2013,566,1,1,0,1,6473.942821716657
37301,257,2,13/08/2013,777,1,1,0,0,7862.658712512581
